shortcode,descrição,quando utilizar,quando não utilizar,como utilizar,opções,exemplos
tie_box,"Caixa visual de destaque para informações relevantes, alertas ou notas editoriais","Utilizar quando for necessário interromper o fluxo normal de leitura para chamar atenção para informações críticas, avisos técnicos, exceções, ressalvas, pré-requisitos, riscos ou observações editoriais. Ideal para artigos técnicos, tutoriais, reviews e conteúdos educacionais que exigem diferenciação clara entre conteúdo principal e observações auxiliares.","Não utilizar para conteúdo comum, parágrafos regulares, ou como substituto de headings estruturais. Evitar uso excessivo ou caixas consecutivas sem texto intermediário.","Envolver apenas o conteúdo que precisa de destaque. Manter o texto interno objetivo e conciso. Escolher o tipo visual coerente com a intenção semântica e usar título apenas quando realmente agrega contexto.","type (info, success, warning, error, note, download); title; icon; align; width","[tie_box type=""warning"" title=""Atenção""]Este conteúdo requer atenção especial.[/tie_box]"
tie_button,"Botão de chamada para ação (CTA) estilizado pelo tema","Utilizar quando houver uma ação clara e prioritária para o usuário, como download, cadastro, compra, acesso a conteúdo complementar ou continuidade de uma jornada. Indicado quando o leitor já possui contexto suficiente para agir.","Não utilizar dentro de parágrafos corridos, para links de baixa relevância ou em excesso na mesma página.","Inserir fora do parágrafo, preferencialmente após uma conclusão parcial ou total. O texto deve indicar claramente a ação esperada. O destino deve ser previsível para o usuário.","text; url; color; size; target; icon; nofollow","[tie_button text=""Baixar agora"" url=""https://exemplo.com"" color=""red"" size=""big"" target=""_blank""]"
tie_tooltip,"Dica contextual exibida ao passar o mouse sobre um termo","Utilizar para explicar termos técnicos, siglas ou conceitos secundários sem interromper o fluxo de leitura. Indicado quando o público possui níveis variados de conhecimento.","Não utilizar para textos longos, informações obrigatórias ou em excesso. Evitar quando a informação é crítica e não pode depender de hover.","Envolver apenas a palavra ou pequena frase que necessita explicação. O conteúdo do tooltip deve ser curto, direto e complementar.","text; direction","[tie_tooltip text=""Explicação adicional do termo""]palavra técnica[/tie_tooltip]"
tie_tags,"Nuvem de tags para navegação semântica","Utilizar quando o objetivo for permitir exploração não linear do conteúdo, descoberta de tópicos relacionados e navegação temática. Indicado para sites com volume consistente de conteúdo.","Não utilizar em artigos muito curtos, quando as tags são mal definidas ou em contextos altamente lineares como tutoriais passo a passo.","Inserir em áreas de navegação, como final do post, sidebar ou rodapé. Limitar a quantidade de tags exibidas.","count","[tie_tags count=""20""]"
tie_highlight,"Destaque visual inline de texto","Utilizar para enfatizar palavras ou expressões centrais à compreensão do parágrafo, reforçar conceitos educacionais ou guiar a leitura em textos densos.","Não utilizar em excesso, para frases longas ou apenas para chamar atenção sem propósito semântico.","Envolver apenas o trecho essencial, mantendo naturalidade e contraste visual moderado.","color; background","[tie_highlight background=""#ffeb3b""]conceito importante[/tie_highlight]"
tie_divider,"Linha divisória visual entre seções","Utilizar para separar seções conceituais distintas, melhorar escaneabilidade e organizar artigos longos.","Não utilizar entre parágrafos diretamente relacionados, em textos curtos ou como substituto de headings.","Inserir isoladamente entre seções. Manter estilo e margens consistentes ao longo do artigo.","style; margin_top; margin_bottom","[tie_divider style=""dashed"" margin_top=""30"" margin_bottom=""30""]"
tie_list,"Lista estilizada com ícones ou estilos do tema","Utilizar quando o conteúdo pode ser consumido de forma escaneável, como requisitos, checklists, benefícios, critérios ou comparações.","Não utilizar para conteúdo narrativo ou quando a ordem e paralelismo dos itens não estão claros.","Envolver listas HTML (<ul> ou <ol>) dentro do shortcode. Manter itens curtos, paralelos e semanticamente consistentes.","style; icon","[tie_list style=""check""]<ul><li>Item 1</li><li>Item 2</li></ul>[/tie_list]"
tie_columns / tie_column,"Layout em múltiplas colunas dentro do conteúdo","Utilizar quando houver comparação direta, necessidade de disposição lado a lado ou organização visual avançada, como prós e contras.","Não utilizar em textos densos, conteúdo linear ou em excesso considerando a experiência mobile.","Usar tie_columns como container e tie_column para cada coluna. Garantir equilíbrio de conteúdo e legibilidade.","columns; last","[tie_columns columns=""2""][tie_column]Coluna 1[/tie_column][tie_column last=""true""]Coluna 2[/tie_column][/tie_columns]"
tie_quote,"Citação estilizada para destaque de frases ou autores","Utilizar para destacar citações externas, frases de impacto ou reforçar autoridade e credibilidade.","Não utilizar para texto próprio sem intenção clara de citação ou para parágrafos longos.","Envolver apenas o texto citado. Informar autor quando possível e escolher estilo coerente com o tom do artigo.","author; align; style","[tie_quote author=""Autor Famoso"" style=""dark""]Texto da citação.[/tie_quote]"
tie_content_index,"Índice automático de conteúdo (TOC) baseado nos headings","Utilizar em artigos longos e estruturados, com múltiplas seções, para melhorar navegação, UX e SEO.","Não utilizar em artigos curtos ou sem hierarquia clara de headings.","Inserir no ponto onde o índice deve aparecer, geralmente após a introdução. Garantir headings bem estruturados.","(configuração global do tema)","[tie_content_index]"
